code,message,data
200,Success,"{'country_id': 34, 'alert': 'merged', 'stock_name': 'TVS Electronics Ltd (Merged)', 'stock_url_name': '/stocks-analysis/tvs-electronics-ltd-merged', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/tvs-electronics-ltd-merged-476155-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'country_id': 34, 'alert': 'merged', 'stock_name': 'Clariant (India) Ltd(merged)', 'stock_url_name': '/stocks-analysis/clariant-india-ltdmerged', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/clariant-india-ltdmerged-829306-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'country_id': 34, 'alert': 'merged', 'stock_name': 'Mawana Sugars Ltd(merged)', 'stock_url_name': '/stocks-analysis/mawana-sugars-ltdmerged', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/mawana-sugars-ltdmerged-973213-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'country_id': 34, 'alert': 'merged', 'stock_name': 'Nagarjuna Fertilizers & Chemicals Ltd (Merged)', 'stock_url_name': '/stocks-analysis/nagarjuna-fertilizers-chemicals-ltd-merged', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/nagarjuna-fertilizers-chemicals-ltd-merged-294813-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
