Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname,tag,stockprice,chg,chgp,chgdir,score,scoretext,stock_traded_status,show_score,recurl
984165,20 Microns Ltd - <b>INE144J01027</b>,533022,20MICRONS,https://www.marketsmojo.com/stocks-analysis/20-microns-984165-0,,bse,20 Microns,Stock,227.90,-1.40,-0.61,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
179108,Twenty First Century Management Services Ltd - <b>INE253B01015</b>,526921,21STCENMGM,https://www.marketsmojo.com/stocks-analysis/twenty-first-century-management-services-179108-0,,bse,21st Cent. Mgmt.,Stock,67.90,0.23,0.34,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
1003277,360 ONE WAM Ltd - <b>INE466L01038</b>,542772,360ONE,https://www.marketsmojo.com/stocks-analysis/360-one-wam-1003277-0,,bse,360 ONE,Stock,1070.00,-6.30,-0.59,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
344456,3i Infotech Ltd - <b>INE748C01038</b>,532628,3IINFOLTD,https://www.marketsmojo.com/stocks-analysis/3i-infotech-344456-0,,bse,3i Infotech,Stock,24.65,-0.10,-0.40,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
657550,3M India Ltd. - <b>INE470A01017</b>,523395,3MINDIA,https://www.marketsmojo.com/stocks-analysis/3m-india-657550-0,,bse,3M India,Stock,29326.15,-273.85,-0.93,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
632857,3P Land Holdings Ltd - <b>INE105C01023</b>,516092,3PLAND,https://www.marketsmojo.com/stocks-analysis/3p-land-holdings-632857-0,,bse,3P Land Hold.,Stock,52.75,-0.80,-1.49,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
1002879,5Paisa Capital Ltd - <b>INE618L01018</b>,540776,5PAISA,https://www.marketsmojo.com/stocks-analysis/5paisa-capital-1002879-0,,bse,5Paisa Capital,Stock,406.55,1.60,0.40,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
825938,63 Moons Technologies Ltd - <b>INE111B01023</b>,526881,63MOONS,https://www.marketsmojo.com/stocks-analysis/63-moons-technologies-825938-0,,bse,63 Moons Tech.,Stock,842.30,-42.85,-4.84,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
949223,A2Z Infra Engineering Ltd - <b>INE619I01012</b>,533292,A2ZINFRA,https://www.marketsmojo.com/stocks-analysis/a2z-infra-engineering-949223-0,,bse,A2Z Infra Engg.,Stock,19.40,0.88,4.75,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
1003430,AAA Technologies Ltd - <b>INE0D0U01013</b>,543671,AAATECH,https://www.marketsmojo.com/stocks-analysis/aaa-technologies-1003430-0,,bse,AAA Technologies,Stock,90.59,0.21,0.23,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
10039246,Aadhar Housing Finance Ltd - <b>INE883F01010</b>,544176,AADHARHFC,https://www.marketsmojo.com/stocks-analysis/aadhar-housing-finance-10039246-0,,bse,Aadhar Hsg. Fin.,Stock,449.75,5.85,1.32,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
1002976,Aakash Exploration Services Ltd - <b>INE087Z01024</b>,535076,AAKASH,https://www.marketsmojo.com/stocks-analysis/aakash-exploration-services-1002976-1,,nse,Aakash Explor.,Stock,8.34,0.20,2.46,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
933527,Aarey Drugs & Pharmaceuticals Ltd - <b>INE198H01019</b>,524412,AAREYDRUGS,https://www.marketsmojo.com/stocks-analysis/aarey-drugs-pharmaceuticals-933527-0,,bse,Aarey Drugs,Stock,55.35,2.61,4.95,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
1003042,Aaron Industries Ltd - <b>INE721Z01010</b>,535103,AARON,https://www.marketsmojo.com/stocks-analysis/aaron-industries-1003042-1,,nse,Aaron Industries,Stock,398.20,1.20,0.30,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
1003114,Aartech Solonics Ltd - <b>INE01C001026</b>,542580,AARTECH,https://www.marketsmojo.com/stocks-analysis/aartech-solonics-1003114-0,,bse,Aartech Solonics,Stock,61.12,3.97,6.95,1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
657348,Aarti Drugs Ltd - <b>INE767A01016</b>,524348,AARTIDRUGS,https://www.marketsmojo.com/stocks-analysis/aarti-drugs-657348-0,,bse,Aarti Drugs,Stock,462.00,-2.80,-0.60,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
465419,Aarti Industries Ltd. - <b>INE769A01020</b>,524208,AARTIIND,https://www.marketsmojo.com/stocks-analysis/aarti-industries-465419-0,,bse,Aarti Industries,Stock,476.70,-4.80,-1.00,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
1003784,Aarti Pharmalabs Ltd - <b>INE0LRU01027</b>,543748,AARTIPHARM,https://www.marketsmojo.com/stocks-analysis/aarti-pharmalabs-1003784-0,,bse,Aarti Pharma,Stock,909.85,-11.55,-1.25,-1,,,Active,0,https://www.marketsmojo.com/mojo/professionalpack?s=buy
