Id,Company,ScriptCode,Symbol,url,price,ExchangeName,sname
790997,PTL Enterprises Ltd. - <b>INE034D01031</b>,509220,PTL,/Stocks?StockId=790997&Exchange=0,,bse,PTL Enterprises
346062,Punjab Chemicals & Crop Protection Ltd - <b>INE277B01014</b>,506618,PUNJABCHEM,/Stocks?StockId=346062&Exchange=0,,bse,Punjab Chemicals
644771,Punj Lloyd Ltd - <b>INE701B01021</b>,532693,PUNJLLOYD,/Stocks?StockId=644771&Exchange=0,,bse,Punj Lloyd
829378,Puravankara Ltd. - <b>INE323I01011</b>,532891,PURVA,/Stocks?StockId=829378&Exchange=0,,bse,Puravankara
333539,PVR Ltd. - <b>INE191H01014</b>,532689,PVR,/Stocks?StockId=333539&Exchange=0,,bse,PVR
1002620,Quess Corp Ltd. - <b>INE615P01015</b>,539978,QUESS,/Stocks?StockId=1002620&Exchange=0,,bse,Quess Corp
1000598,Quick Heal Technologies Ltd - <b>INE306L01010</b>,539678,QUICKHEAL,/Stocks?StockId=1000598&Exchange=0,,bse,Quick Heal Tech
101600,Radaan Mediaworks (I) Ltd - <b>INE874F01027</b>,590070,RADAAN,/Stocks?StockId=101600&Exchange=0,,bse,Radaan Media.
387440,Radico Khaitan Ltd. - <b>INE944F01028</b>,532497,RADICO,/Stocks?StockId=387440&Exchange=0,,bse,Radico Khaitan
1002726,Music Broadcast Ltd - <b>INE919I01024</b>,540366,RADIOCITY,/Stocks?StockId=1002726&Exchange=0,,bse,Music Broadcast
