code,message,data
200,Success,"{'alert': 'merged', 'stock_name': 'Pressman Advertising Ltd(Merged)', 'stock_url_name': '/stocks-analysis/pressman-advertising-ltdmerged', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/pressman-advertising-ltdmerged-590303-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Vaghani Techno-Build Ltd', 'stock_url_name': '/stocks-analysis/vaghani-techno-build', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/vaghani-techno-build-230011-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Shri Aster Silicates Ltd', 'stock_url_name': '/stocks-analysis/shri-aster-silicates', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/shri-aster-silicates-229932-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'Adarsh Mercantile Ltd', 'stock_url_name': '/stocks-analysis/adarsh-mercantile', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/adarsh-mercantile-655994-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'India Infraspace Ltd', 'stock_url_name': '/stocks-analysis/india-infraspace', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/india-infraspace-262495-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Kwality Ltd', 'stock_url_name': '/stocks-analysis/kwality', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/kwality-524925-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Arnav Corporation Ltd', 'stock_url_name': '/stocks-analysis/arnav-corporation', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/arnav-corporation-229879-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Claris Lifesciences Ltd', 'stock_url_name': '/stocks-analysis/claris-lifesciences', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/claris-lifesciences-328448-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots1', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'suspended', 'stock_name': 'B P Capital Ltd', 'stock_url_name': '/stocks-analysis/b-p-capital', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/b-p-capital-164578-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Ankur Drugs & Pharma Ltd', 'stock_url_name': '/stocks-analysis/ankur-drugs-pharma', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/ankur-drugs-pharma-525157-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots3', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
200,Success,"{'alert': 'delisted', 'stock_name': 'Spisys Ltd', 'stock_url_name': '/stocks-analysis/spisys', 'stock_url': 'https://www.marketsmojo.com/stocks-analysis/spisys-885354-0', 'is_blur': 1, 'is_blur_class': 'stock-four-dots2', 'ut_source': 'SB_Stocks_Ticker', 'is_blur_url': 'openLoginModal|SB_Stocks_Dashboard'}"
